zip_code,service_code,specialty_code,GEOGRAPHIC_AREA_CD,allowed_amount,rate_found
10001,97811,AP,GN01,23.38,1
10003,97811,AP,,46.76,0
10003,97811,AP,GN01,23.38,1
10007,97110,DC,GN01,19.41,1
10007,98943,DC,GN01,15.99,1
10011,97810,AP,GN01,31.49,1
10011,97811,AP,,46.76,0
10016,97112,PT,GN01,20.29,1
10016,97810,AP,,0.0,0
10016,97810,AP,GN01,31.49,1
10016,97811,AP,,46.76,0
10017,97810,AP,GN01,31.49,1
10019,76830,20105,GN01,95.31,1
10021,97811,AP,GN01,23.38,1
10022,99386,20101,GN01,114.17,1
10025,97810,AP,GN01,31.49,1
10032,97811,AP,GN01,23.38,1
10038,97811,AP,GN01,23.38,1
10075,45380,10301,GN01,240.32,1
10075,97810,AP,GN01,31.49,1
10301,98940,DC,GN01,16.53,1
10305,98940,DC,GN01,16.53,1
10509,97110,PT,,58.88,0
10536,98940,DC,GN01,16.53,1
10541,97112,PT,GN01,20.29,1
10543,97811,10401,GN01,23.38,1
10577,45380,10201,GN01,240.32,1
10577,92014,10414,GN01,94.41,1
10577,92015,30401,GN01,16.92,1
10583,92014,10414,GN01,94.41,1
10601,99385,10301,GN01,98.28,1
10704,97110,DC,,68.26,0
10704,98940,DC,GN01,16.53,1
11010,98940,DC,GN01,16.53,1
11101,90837,CP,GN01,160.89,1
11201,97124,AP,GN01,15.74,1
11201,97810,AP,GN01,31.49,1
11203,99386,20101,GN01,114.17,1
11223,45380,10301,GN01,240.32,1
11354,97110,DC,GN01,19.41,1
11354,97112,DC,GN01,20.29,1
11361,97110,DC,GN01,19.41,1
11375,92014,30401,GN01,94.41,1
11418,92015,30401,GN01,16.92,1
11426,97110,10801,,68.26,0
11426,97110,10801,GN01,19.41,1
11426,97124,10801,GN01,15.74,1
11510,97112,PT,GN01,20.29,1
11530,45380,10307,GN01,240.32,1
11570,45380,10307,GN01,240.32,1
11572,98940,DC,GN01,16.53,1
11580,98940,DC,GN01,16.53,1
11596,97811,AP,,46.76,0
11701,97810,AP,GN01,31.49,1
11706,97124,DC,GN01,15.74,1
11731,97112,PT,GN01,20.29,1
11733,97810,AP,GN01,31.49,1
11756,90837,BHG,GN01,160.89,1
11757,97110,PT,,68.26,0
11758,90837,SW,GN01,120.67,1
11758,97124,AP,GN01,15.74,1
11779,97810,AP,GN01,31.49,1
11780,97810,AP,GN01,31.49,1
11784,97811,AP,GN01,23.38,1
11790,97811,AP,GN01,23.38,1
11793,97110,PT,,58.88,0
12065,97810,AP,NY02,46.4,1
12078,92014,30401,NY02,156.83,1
12189,99386,10301,NY02,145.98,1
12205,97110,DC,NY02,15.37,1
12205,97811,AP,,60.0,0
12524,97124,AP,GN01,15.74,1
12545,98940,DC,GN01,16.53,1
12553,97110,11002,,58.88,0
12866,98940,DC,NY02,20.01,1
13827,97112,PT,NY03,16.19,1
14072,98941,DC,NY04,28.74,1
14217,98943,DC,NY04,19.14,1
14850,92015,OP,NY03,21.04,1
15090,98943,DC,PA03,16.01,1
15228,17000,10601,PA03,57.93,1
16501,92015,10414,PA07,19.19,1
17015,17000,10601,PA04,57.93,1
1760,97124,AP,,19.99,0
1760,97810,AP,,35.03,0
18017,97110,DC,PA01,19.36,1
18042,97110,DC,PA01,19.36,1
18337,97110,DC,PA09,20.14,1
18810,98943,DC,PA09,16.01,1
18901,17000,10601,PA01,61.8,1
18901,98940,DC,PA01,17.95,1
18940,90837,LPC,PA01,110.21,1
19006,17000,10601,PA01,61.8,1
19087,17000,10601,PA01,61.8,1
19094,97811,AP,,62.78,0
19104,99386,20101,PA01,129.83,1
19106,17000,10601,PA01,61.8,1
19355,97811,AP,,62.78,0
19454,97810,AP,PA01,41.95,1
19460,98943,DC,PA01,17.34,1
19512,90837,LPC,PA05,112.35,1
20005,97112,PT,DC01,26.44,1
20007,97112,PT,DC01,26.44,1
20008,97810,AP,DC01,36.72,1
20008,97811,AP,,54.98,0
20009,97810,AP,DC01,36.72,1
20009,97811,AP,,54.98,0
20010,98943,DC,DC01,18.38,1
20024,97810,DC,DC01,36.72,1
20036,97810,AP,DC01,36.72,1
20036,97811,AP,,54.98,0
20121,97810,AP,VA01,36.72,1
20121,97811,AP,,54.98,0
20121,99386,10301,VA01,147.9,1
20147,99213,10601,VA01,73.38,1
20151,97810,AP,VA01,36.72,1
20152,99213,20101,VA01,73.38,1
20164,97110,DC,VA01,22.98,1
20176,17000,10601,VA01,69.92,1
20176,99213,10401,VA01,73.38,1
20190,58300,20101,VA01,95.8,1
2038,98943,DC,,20.32,0
20715,92015,30401,MD02,30.0,1
20740,97811,AP,,54.98,0
20754,98941,DC,MD01,26.48,1
20814,97810,AP,MD02,36.72,1
20814,97811,AP,MD02,27.49,1
20815,92015,OP,,35.5,0
20817,97811,AP,,54.98,0
20850,97811,AP,,54.98,0
20850,97811,AP,MD02,27.49,1
20850,98943,DC,MD02,18.38,1
20852,97110,DC,MD02,22.98,1
20852,97811,AP,,50.0,0
20904,90837,LPC,MD02,101.35,1
21015,97811,AP,MD01,26.59,1
21042,97810,AP,MD02,36.72,1
21044,97124,AP,,145.0,0
21044,97811,AP,,54.98,0
21046,97811,AP,,54.98,0
21084,97112,PT,MD01,24.99,1
21208,97811,AP,,53.18,0
21210,97810,AP,MD01,35.27,1
21224,98940,DC,MD01,18.46,1
21228,97110,PT,MD01,21.76,1
21230,97811,AP,,53.18,0
21234,98940,DC,MD01,18.46,1
21401,97810,AP,MD01,35.27,1
21740,98943,DC,,17.0,0
22003,97810,AP,VA01,36.72,1
22003,97811,AP,VA01,27.49,1
22030,97810,AP,VA01,36.72,1
22031,97810,DC,VA01,36.72,1
22044,98940,DC,VA01,19.39,1
22044,98943,DC,VA01,18.38,1
22046,98940,DC,VA01,19.39,1
22101,97810,AP,VA01,36.72,1
22101,97811,AP,VA01,27.49,1
22151,98943,DC,VA01,18.38,1
22180,98941,DC,VA01,27.74,1
22182,99386,10301,VA01,147.9,1
22193,97112,PT,VA01,26.44,1
22202,98940,DC,VA01,19.39,1
22204,97810,AP,VA01,36.72,1
22204,97811,AP,,54.98,0
22204,97811,DC,,54.98,0
22209,17000,10601,VA01,69.92,1
22304,97124,DC,,40.0,0
22314,97112,PT,VA01,26.44,1
22314,97811,AP,,54.98,0
22401,97810,AP,VA01,36.72,1
22408,99213,10313,VA01,73.38,1
22801,98940,DC,VA04,17.16,1
23059,97112,PT,VA02,22.99,1
23111,17000,10601,VA02,72.4,1
23112,99213,10401,VA02,73.07,1
23229,98941,DC,VA02,24.91,1
23229,99385,10401,VA02,117.57,1
23321,98940,DC,VA03,17.16,1
23430,92015,OP,VA03,17.03,1
23456,98940,DC,VA03,17.16,1
2359,97110,DC,,24.22,0
24014,45378,10307,VA04,211.85,1
24060,17000,10601,VA04,72.4,1
24060,58300,20101,VA04,89.25,1
24153,98940,DC,VA04,17.16,1
27028,98941,DC,NC04,27.29,1
27262,98941,DC,NC04,27.29,1
27265,92015,OP,NC04,19.42,1
27511,90837,BHG,NC02,184.81,1
27573,97110,DC,NC02,24.64,1
27573,98941,DC,NC02,27.29,1
27596,98941,DC,NC02,27.29,1
27615,98941,DC,NC02,27.29,1
